ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N3679809473;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.71978;-95.3473231;[]
N3679809474;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7199321;-95.3474506;[]
N3679809475;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7200188;-95.347136;[]
N3679809476;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7200251;-95.3475476;[]
N3679809477;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.720071;-95.3472346;[]
N3679809478;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7200825;-95.3476139;[]
N3679809479;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7201055;-95.3473308;[]
N3679809470;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7196127;-95.3465468;[]
N3721873101;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235748;-95.3426219;[]
N3721873107;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235791;-95.3427707;[]
N3679809466;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.719458;-95.3471615;[]
N3721873106;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235791;-95.3427707;[]
N3679809467;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7195064;-95.3464915;[]
N3721873109;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235791;-95.3427707;[]
N3679809464;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7194244;-95.3465255;[]
N3721873108;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235791;-95.3427707;[]
N3679809465;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7194385;-95.3464753;[]
N3721873103;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235778;-95.3427664;[]
N3679809462;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7193773;-95.3465664;[]
N3721873102;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235778;-95.3427663;[]
N3679809463;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7194069;-95.3464809;[]
N3721873105;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235779;-95.3427665;[]
N3679809460;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7193521;-95.3467559;[]
